Cluster_Label,Gender,Age,Academic Pressure,Work Pressure,CGPA,Study Satisfaction,Job Satisfaction,Have you ever had suicidal thoughts ?,Work/Study Hours,Family History of Mental Illness,City_freq,Profession_freq,Sleep Duration_'7-8 hours',Sleep Duration_'Less than 5 hours',Sleep Duration_'More than 8 hours',Sleep Duration_Others,Dietary Habits_Moderate,Dietary Habits_Others,Dietary Habits_Unhealthy,Degree_freq,Financial Stress_2.0,Financial Stress_3.0,Financial Stress_4.0,Financial Stress_5.0,Financial Stress_?,Combined_Stress_Index,Well_being_Index
Cluster 0,1.0,0.11129390644458265,-0.5628743668505679,0.0,0.4519323300907596,0.9095287726916794,0.0,1.0,0.3254560024130384,0.0,0.040317877169602855,0.9988889287122326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03715083525842993,0.0,0.0,0.0,0.0,0.0,-0.28143718342528395,0.4547643863458397
Cluster 1,1.0,0.23165721044288207,0.17354267264848872,0.0,-0.7017570283193506,0.006277030360766714,0.0,1.0,0.21453300248877585,0.0,0.030638942792628982,0.9988889287122324,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03761428588495715,0.0,0.0,0.0,0.0,0.0,0.08677133632424436,0.0031385151803833356
Cluster 10,1.0,0.9176191171662216,0.23187750851060704,0.0,-0.5257641693603271,0.6629204963456448,0.0,1.0,-0.6647675394209658,0.0,0.03244438440309551,0.9988889287122326,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03933137218682535,0.0,0.0,0.0,0.0,0.0,0.11593875425530352,0.3314602481728223
Cluster 100,1.0,0.7578740236273974,-0.026023871090337377,0.0,-0.713798644984968,0.07992987814164175,0.0,1.0,0.14220260309217914,1.0,0.040366408297004955,0.9988889287122326,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.041251115315617766,0.0,0.0,0.0,1.0,0.0,-0.013011935545168688,0.03996493907082088
Cluster 101,1.0,0.011396789247464702,0.3049617773037725,0.0,-0.04301014044235426,0.8218672369593,0.0,1.0,0.46337999573991756,1.0,0.03658695028852008,0.9988889287122326,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03808331242607788,0.0,0.0,0.0,1.0,0.0,0.15248088865188625,0.41093361847964993
Cluster 102,1.0,0.5310166779239464,0.9836014160974509,0.0,-0.7282058842153911,0.7759492896709106,0.0,1.0,0.49709474966426576,0.0,0.038125873624601216,0.9988889287122326,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.039756639546969584,0.0,0.0,0.0,1.0,0.0,0.49180070804872544,0.3879746448354553
Cluster 103,1.0,0.32002348226968774,1.0114430423043712,0.0,0.8466805682069352,-1.3150833868465084,0.0,1.0,0.3103668817755679,0.0,0.04045622847816314,0.9988889287122326,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04510453168207366,0.0,0.0,0.0,1.0,0.0,0.5057215211521856,-0.6575416934232542
Cluster 104,1.0,0.41175965429327843,-0.04189848252410766,0.0,1.3236898656826468,-0.8158728829932507,0.0,1.0,0.27232972350194423,0.0,0.03210458406508723,0.9988889287122326,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04026140042770267,0.0,0.0,0.0,1.0,0.0,-0.02094924126205383,-0.4079364414966253
Cluster 105,0.0,0.9978227418497037,1.2731543286494205,0.0,-0.018305610932095685,-0.8403624548803915,0.0,1.0,1.063502615593316,0.0,0.03592344360417183,0.9988889287122327,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03617791477007988,0.0,0.0,0.0,1.0,0.0,0.6365771643247102,-0.42018122744019576
Cluster 106,0.0,-0.04304663458392713,0.8734454167570277,0.0,-0.1889779827211091,-0.24622414561845044,0.0,1.0,0.8019933938496758,0.0,0.032786731970024394,0.9988889287122326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0380631518583563,0.0,0.0,0.0,1.0,0.0,0.43672270837851385,-0.12311207280922522
Cluster 107,1.0,-0.42768588866544893,0.7532752356583843,0.0,-0.8032746112956756,-1.0941634726198524,0.0,1.0,0.815852423130831,0.0,0.036170094913509095,0.9988889287122326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03899827637328082,0.0,0.0,0.0,1.0,0.0,0.37663761782919214,-0.5470817363099262
Cluster 108,1.0,-0.014158287244821247,-0.1022220059724346,0.0,0.7705355727403026,-0.08118572637902235,0.0,1.0,0.4296652418155693,0.0,0.03392351528619041,0.9988889287122326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034464117176206316,0.0,0.0,0.0,1.0,0.0,-0.0511110029862173,-0.040592863189511164
Cluster 109,1.0,-0.25267233450615706,-0.041898482524107626,0.0,0.9000213825871756,-0.4485293046861365,0.0,1.0,0.15994721042078347,1.0,0.03619941937564955,0.9988889287122326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038140807378469074,0.0,0.0,0.0,1.0,0.0,-0.020949241262053813,-0.22426465234306822
Cluster 11,0.0,0.19028232469346662,0.621660275407489,0.0,1.0402976765879546,-0.9383207424289554,0.0,1.0,-0.17720032882269887,1.0,0.037349318423473436,0.9988889287122326,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03851415122516512,0.0,0.0,0.0,0.0,0.0,0.3108301377037445,-0.4691603712144776
Cluster 110,1.0,-0.4741496641059689,0.4044955909935119,0.0,-0.5635090208136664,-1.134237317526083,0.0,1.0,0.44315114338530864,0.0,0.0386581126124511,0.9988889287122327,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04085875058241636,0.0,0.0,0.0,1.0,0.0,0.20224779549675595,-0.5671186587630415
Cluster 111,1.0,0.36632840719588117,1.3455425567874129,0.0,0.9581385516266351,-0.4077133515409016,0.0,1.0,0.7518284459815636,0.0,0.03312107491169168,0.9988889287122326,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03507241875042307,0.0,0.0,0.0,1.0,0.0,0.6727712783937064,-0.20385667577045077
Cluster 112,1.0,0.2042214573256226,-0.036414525846987,0.0,0.5566361667611975,-1.1609532141302366,0.0,1.0,-0.5082179128072087,0.0,0.03559989703855511,0.9988889287122326,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03764935111481826,0.0,0.0,0.0,1.0,0.0,-0.0182072629234935,-0.5804766070651183
Cluster 113,1.0,0.07783998812740826,-0.24699846224841937,0.0,0.36606279303441225,-0.10567529826616336,0.0,1.0,0.4161793402458301,0.0,0.03548259918999314,0.9988889287122327,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03555428120855879,0.0,0.0,0.0,1.0,0.0,-0.12349923112420969,-0.052837649133081685
